D_code,D_name,Nama_Pemenang,Parti_Pemenang,Undi_Menang,Oppo.Nama,Oppo.Parti,Oppo.Undi,Majoriti,Penyandang.Nama,Penyandang.Parti
N7,Samariang,"Sharifah Hasidah binti Sayeed Aman Ghazali, Datuk Hajah",GPS (PBB),11354,Abang Abdul Halil bin Abang Naili,AMANAH,1071,10283,"Sharifah Hasidah Sayeed Aman Ghazali, Datuk Hajah",GPS (PBB)
N7,Samariang,"Sharifah Hasidah binti Sayeed Aman Ghazali, Datuk Hajah",GPS (PBB),11354,Othman bin Abdillah,SEDAR,535,10283,"Sharifah Hasidah Sayeed Aman Ghazali, Datuk Hajah",GPS (PBB)
N8,Satok,"Ibrahim bin Baki, Datuk",GPS (PBB),6991,"Nor Irwan bin Ahmat Nor, Datuk Ir. Dr.",PKR,958,6033,"Abang Haji Abdul Rahman Zohari Abang Openg, Tan Sri Datuk Patinggi Dr.",GPS (PBB)
N8,Satok,"Ibrahim bin Baki, Datuk",GPS (PBB),6991,Awang Badele bin Awang Ali,PBK,415,6033,"Abang Haji Abdul Rahman Zohari Abang Openg, Tan Sri Datuk Patinggi Dr.",GPS (PBB)
N9,Padungan,Chong Chieng Jen,DAP,4686,"Wee Hong Seng, Datuk",GPS (SUPP),3488,1198,Wong King Wei,BEBAS
N9,Padungan,Chong Chieng Jen,DAP,4686,Raymond Thong Ee Yu,PBK,930,1198,Wong King Wei,BEBAS
N9,Padungan,Chong Chieng Jen,DAP,4686,Lina Soo,ASPIRASI,193,1198,Wong King Wei,BEBAS
N10,Pending,Violet Yong Wui Wui,DAP,5188,Milton Foo Tiang Wee,GPS (SUPP),4648,540,Violet Yong Wui Wui,PH (DAP)
N10,Pending,Violet Yong Wui Wui,DAP,5188,Tan Kay Hok,PSB,1858,540,Violet Yong Wui Wui,PH (DAP)
N10,Pending,Violet Yong Wui Wui,DAP,5188,Teo Kuang Kim,PBK,978,540,Violet Yong Wui Wui,PH (DAP)
N10,Pending,Violet Yong Wui Wui,DAP,5188,Chan Chee Hiong,ASPIRASI,204,540,Violet Yong Wui Wui,PH (DAP)
N11,Batu Lintang,See Chee How,PSB,4420,Sih Hua Tong,GPS (SUPP),4327,93,See Chee How,PSB
N11,Batu Lintang,See Chee How,PSB,4420,Cherishe Ng Phuay Hui,PKR,1823,93,See Chee How,PSB
N11,Batu Lintang,See Chee How,PSB,4420,Voon Lee Shan,PBK,1570,93,See Chee How,PSB
N11,Batu Lintang,See Chee How,PSB,4420,Leong Shaow Tung,ASPIRASI,187,93,See Chee How,PSB
N12,Kota Sentosa,Yap Yau Sin,GPS (SUPP),5806,Michael Kong Feng Nian,DAP,4123,1683,Chong Chieng Jen,PH (DAP)
N12,Kota Sentosa,Yap Yau Sin,GPS (SUPP),5806,"Lau Pang Heng, Datuk Dr",PSB,2328,1683,Chong Chieng Jen,PH (DAP)
N12,Kota Sentosa,Yap Yau Sin,GPS (SUPP),5806,Lue Cheng Hing,PBK,1015,1683,Chong Chieng Jen,PH (DAP)
N12,Kota Sentosa,Yap Yau Sin,GPS (SUPP),5806,Tan Kok Chiang,ASPIRASI,215,1683,Chong Chieng Jen,PH (DAP)
N13,Batu Kitang,Lo Khere Chiang,GPS (SUPP),6307,Abdul Aziz Isa bin Marindo,DAP,2144,4163,"Lo Khere Chiang, Ir",GPS (SUPP)
